Date,Open,High,Low,Close,Adj Close,Volume
2016-10-28,0.195000,0.199000,0.195000,0.199000,0.190737,160000
2016-10-31,0.190000,0.199000,0.190000,0.199000,0.190737,299800
2016-11-01,0.200000,0.200000,0.198000,0.200000,0.191695,63900
2016-11-02,0.200000,0.200000,0.200000,0.200000,0.191695,11000
2016-11-03,0.200000,0.200000,0.200000,0.200000,0.191695,0
2016-11-04,0.205000,0.205000,0.200000,0.205000,0.196488,85500
2016-11-07,0.205000,0.210000,0.198000,0.210000,0.201280,545000
2016-11-08,0.205000,0.205000,0.200000,0.205000,0.196488,792000
2016-11-09,0.200000,0.205000,0.200000,0.205000,0.196488,501000
2016-11-10,0.205000,0.205000,0.205000,0.205000,0.196488,334400
2016-11-11,0.205000,0.210000,0.200000,0.210000,0.201280,103100
2016-11-14,0.205000,0.205000,0.205000,0.205000,0.196488,165000
2016-11-15,0.205000,0.210000,0.195000,0.200000,0.191695,562300
2016-11-16,0.200000,0.200000,0.200000,0.200000,0.191695,117900
2016-11-17,0.200000,0.210000,0.200000,0.205000,0.196488,709100
2016-11-18,0.200000,0.205000,0.196000,0.205000,0.196488,906000
2016-11-21,0.205000,0.210000,0.205000,0.205000,0.196488,961000
2016-11-22,0.205000,0.205000,0.200000,0.200000,0.191695,816300
2016-11-23,0.205000,0.205000,0.200000,0.200000,0.191695,810000
2016-11-24,0.200000,0.200000,0.200000,0.200000,0.191695,130000
2016-11-25,0.200000,0.200000,0.200000,0.200000,0.191695,20000
2016-11-28,0.205000,0.205000,0.205000,0.205000,0.196488,926000
2016-11-29,0.205000,0.210000,0.205000,0.205000,0.196488,349600
2016-11-30,0.205000,0.210000,0.205000,0.205000,0.196488,361300
2016-12-01,0.205000,0.210000,0.205000,0.210000,0.201280,683200
2016-12-02,0.205000,0.205000,0.205000,0.205000,0.196488,260000
2016-12-05,0.210000,0.210000,0.205000,0.210000,0.201280,580400
2016-12-06,0.210000,0.225000,0.210000,0.225000,0.215657,1838100
2016-12-07,0.225000,0.225000,0.215000,0.220000,0.210865,1577900
2016-12-08,0.225000,0.225000,0.220000,0.220000,0.210865,162000
2016-12-09,0.220000,0.225000,0.215000,0.220000,0.210865,922100
2016-12-12,0.215000,0.220000,0.215000,0.220000,0.210865,735000
2016-12-13,0.220000,0.220000,0.220000,0.220000,0.210865,105000
2016-12-14,0.220000,0.230000,0.220000,0.230000,0.220450,290100
2016-12-15,0.225000,0.225000,0.220000,0.225000,0.215657,570000
2016-12-16,0.225000,0.230000,0.220000,0.225000,0.215657,1665900
2016-12-19,0.225000,0.225000,0.225000,0.225000,0.215657,321000
2016-12-20,0.225000,0.235000,0.225000,0.230000,0.220450,1979300
2016-12-21,0.230000,0.230000,0.220000,0.220000,0.210865,2256000
2016-12-22,0.215000,0.220000,0.215000,0.220000,0.210865,180100
2016-12-23,0.215000,0.225000,0.215000,0.220000,0.210865,410400
2016-12-27,0.225000,0.225000,0.220000,0.220000,0.210865,762000
2016-12-28,0.220000,0.225000,0.220000,0.220000,0.210865,700700
2016-12-29,0.220000,0.225000,0.220000,0.225000,0.215657,285300
2016-12-30,0.220000,0.225000,0.220000,0.225000,0.215657,544600
2017-01-03,0.225000,0.225000,0.220000,0.225000,0.215657,1360600
2017-01-04,0.225000,0.230000,0.220000,0.225000,0.215657,2585000
2017-01-05,0.230000,0.235000,0.230000,0.235000,0.225242,2653100
2017-01-06,0.235000,0.260000,0.235000,0.250000,0.239619,11781200
2017-01-09,0.255000,0.265000,0.255000,0.265000,0.253996,4287200
2017-01-10,0.265000,0.275000,0.260000,0.270000,0.258789,3253100
2017-01-11,0.265000,0.270000,0.255000,0.265000,0.253996,6267200
2017-01-12,0.260000,0.270000,0.230000,0.240000,0.230034,12041600
2017-01-13,0.240000,0.240000,0.225000,0.225000,0.215657,3865200
2017-01-16,0.220000,0.220000,0.200000,0.205000,0.196488,8619400
2017-01-17,0.210000,0.210000,0.200000,0.205000,0.196488,6836300
2017-01-18,0.205000,0.205000,0.196000,0.196000,0.187861,4015900
2017-01-19,0.196000,0.205000,0.195000,0.198000,0.189778,3301100
2017-01-20,0.198000,0.200000,0.196000,0.200000,0.191695,2363800
2017-01-23,0.200000,0.205000,0.197000,0.197000,0.188820,1374300
2017-01-24,0.197000,0.198000,0.196000,0.196000,0.187861,906600
2017-01-25,0.197000,0.205000,0.197000,0.199000,0.190737,2498500
2017-01-26,0.200000,0.205000,0.198000,0.198000,0.189778,933700
2017-01-27,0.199000,0.199000,0.198000,0.199000,0.190737,534800
2017-01-31,0.199000,0.205000,0.198000,0.198000,0.189778,882800
2017-02-01,0.200000,0.205000,0.198000,0.198000,0.189778,851100
2017-02-02,0.200000,0.205000,0.199000,0.199000,0.190737,1036100
2017-02-03,0.200000,0.200000,0.199000,0.200000,0.191695,722400
2017-02-06,0.200000,0.205000,0.200000,0.200000,0.191695,572900
2017-02-07,0.205000,0.215000,0.205000,0.210000,0.201280,2973500
2017-02-08,0.210000,0.210000,0.205000,0.210000,0.201280,597000
2017-02-09,0.205000,0.210000,0.205000,0.205000,0.196488,688300
2017-02-10,0.205000,0.205000,0.205000,0.205000,0.196488,578200
2017-02-13,0.205000,0.205000,0.200000,0.200000,0.191695,548000
2017-02-14,0.205000,0.205000,0.198000,0.198000,0.189778,1679100
2017-02-15,0.199000,0.200000,0.198000,0.199000,0.190737,858100
2017-02-16,0.200000,0.200000,0.200000,0.200000,0.191695,270000
2017-02-17,0.200000,0.200000,0.199000,0.199000,0.190737,185000
2017-02-20,0.199000,0.199000,0.199000,0.199000,0.190737,300000
2017-02-21,0.200000,0.205000,0.198000,0.198000,0.189778,414000
2017-02-22,0.199000,0.200000,0.199000,0.200000,0.191695,79800
2017-02-23,0.199000,0.199000,0.199000,0.199000,0.190737,110000
2017-02-24,0.198000,0.199000,0.198000,0.198000,0.189778,563000
2017-02-27,0.200000,0.205000,0.198000,0.200000,0.191695,1452300
2017-02-28,0.198000,0.199000,0.198000,0.199000,0.190737,537100
2017-03-01,0.198000,0.205000,0.198000,0.205000,0.196488,280000
